,artist,track,album,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,stream,ln_stream
1789,The Lumineers,8,3,0.57275,0.554625,4.5,-8.101750000000001,0.03355,0.558375,0.0055239287500000005,0.15098750000000002,0.379375,119.53099999999999,3.3904166666666664,382102925.75,19.76120056941477
1790,The Lyndhurst Orchestra,1,1,0.28600000000000003,0.217,9.0,-18.805,0.0336,0.602,0.099,0.10400000000000001,0.0389,138.225,4.23845,185314083.0,19.037562689446982
1791,The Mamas & The Papas,9,4,0.5502222222222223,0.484888888888889,4.666666666666667,-11.247222222222222,0.03509999999999999,0.6415555555555555,1.6666666666666668e-07,0.2298888888888889,0.6304444444444445,113.36999999999999,3.1380462962962965,96684553.55555555,18.3869642119411
1792,The National,10,8,0.49240000000000006,0.6115,5.4,-9.1435,0.04257999999999999,0.40895000000000004,0.25812860800000004,0.1034,0.40890000000000004,127.45360000000001,4.353026666666667,59896240.8,17.908124303186433
1793,The Neighbourhood,10,5,0.5354000000000001,0.6236999999999998,6.5,-6.8178,0.03688999999999999,0.08193500000000001,0.064782789,0.17176,0.3771,114.7749,3.8274433333333335,499006940.8,20.028130563037895
1794,The Notorious B.I.G.,8,4,0.8005,0.680875,6.75,-6.359500000000001,0.26111249999999997,0.24543749999999998,1.59875e-06,0.232125,0.6436999999999999,93.74149999999999,4.384252083333333,387439729.375,19.775070857563755
1795,The Offspring,9,5,0.5458888888888889,0.9035555555555557,3.4444444444444446,-4.903333333333332,0.08181111111111111,0.05840843333333333,0.0007682088888888889,0.17123333333333332,0.6819999999999999,116.06622222222222,3.2958055555555554,310634511.4444444,19.55412757469066
1796,The Outfield,10,4,0.5466000000000002,0.6333,4.7,-11.7992,0.04333999999999999,0.12929000000000002,0.023857923000000003,0.16565000000000002,0.563,122.0284,3.8620016666666666,66859876.1,18.018109585828576
1797,The Paper Kites,9,5,0.5365555555555556,0.26855555555555555,4.222222222222222,-15.376666666666665,0.03478888888888888,0.8608888888888889,0.20739477777777776,0.1154111111111111,0.3794444444444445,114.78366666666668,3.5161592592592594,85499038.55555555,18.2640156888795
1798,The Pointer Sisters,9,5,0.73,0.738111111111111,5.777777777777778,-7.653111111111111,0.05731111111111112,0.144,0.0018676,0.1711555555555556,0.7468888888888888,129.79677777777775,4.209503703703703,74115590.0,18.12113645950018
1799,The Police,10,5,0.6462,0.623,2.6,-8.9276,0.11252,0.131432,0.014795395,0.11654,0.661,126.2048,4.258156666666667,304434019.0,19.533964935263242
1800,The Prodigy,8,5,0.571625,0.937875,7.875,-4.48025,0.078675,0.002855875,0.597375,0.1425125,0.374875,147.98625,4.802822916666666,70712040.875,18.07412642577174
1801,The Pussycat Dolls,8,5,0.754375,0.719875,6.625,-5.264,0.066725,0.08618125,3.125e-07,0.18169999999999997,0.524375,112.487375,3.63078125,166959776.75,18.933263483585705
1802,The Rolling Stones,8,7,0.611375,0.718875,4.375,-6.353875,0.039675,0.346025,0.03040875,0.1699,0.66225,127.77162499999999,4.3261104166666655,414173228.875,19.841794871507624
